time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-01-01T00:00:00.0000000Z,2018-01-01T06:00:00.0000000Z,13715.65,13715.65,13155.38,13558.99,2421.241182,29087
2018-01-01T06:00:00.0000000Z,2018-01-01T12:00:00.0000000Z,13539,13818.55,13001.13,13220.56,1876.934392,25612
2018-01-01T12:00:00.0000000Z,2018-01-01T18:00:00.0000000Z,13220.56,13330,12750,13022,2427.898747,28339
2018-01-01T18:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,13007.87,13599.7,12940,13380,1883.841523,22557
2018-01-02T00:00:00.0000000Z,2018-01-02T06:00:00.0000000Z,13382.16,13850,12890.02,13166.95,3957.954564,42047
2018-01-02T06:00:00.0000000Z,2018-01-02T12:00:00.0000000Z,13166.95,13617.28,13041.5,13490,3984.077089,27592
2018-01-02T12:00:00.0000000Z,2018-01-02T18:00:00.0000000Z,13490,13894.86,13450.46,13780,5204.237369,44166
2018-01-02T18:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,13789.98,15473.49,13755.43,14675.11,6931.823089,63923
2018-01-03T00:00:00.0000000Z,2018-01-03T06:00:00.0000000Z,14690,15299.99,14660,14988,4945.238109,39733
2018-01-03T06:00:00.0000000Z,2018-01-03T12:00:00.0000000Z,14980.89,15307.56,14150,14730.05,5773.10049,53071
2018-01-03T12:00:00.0000000Z,2018-01-03T18:00:00.0000000Z,14764.73,15130,14400.04,14800,2949.681177,38738
2018-01-03T18:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,14800,14990,14671,14919.51,2237.647863,31245
2018-01-04T00:00:00.0000000Z,2018-01-04T06:00:00.0000000Z,14919.51,15280,14649.99,14875.1,3951.379597,33148
2018-01-04T06:00:00.0000000Z,2018-01-04T12:00:00.0000000Z,14890,15100,13918.04,14539.97,6290.608542,48940
2018-01-04T12:00:00.0000000Z,2018-01-04T18:00:00.0000000Z,14539.99,14653.4,14181.88,14648.89,5956.190081,48105
2018-01-04T18:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,14648,15100.08,14601,15059.54,5131.471354,40117
2018-01-05T00:00:00.0000000Z,2018-01-05T06:00:00.0000000Z,15059.56,15200,14600,15000,5435.654299,42692
2018-01-05T06:00:00.0000000Z,2018-01-05T12:00:00.0000000Z,14999,16350,14700,16090.69,5859.143932,53577
2018-01-05T12:00:00.0000000Z,2018-01-05T18:00:00.0000000Z,16090.7,17118.13,15750,16650,5725.994674,50750
2018-01-05T18:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,16650,17176.24,16310,16960.39,6230.69822,45950
2018-01-06T00:00:00.0000000Z,2018-01-06T06:00:00.0000000Z,16960.39,17099.99,16288,16642.84,5750.172159,46355
2018-01-06T06:00:00.0000000Z,2018-01-06T12:00:00.0000000Z,16637.82,16750.01,16340,16529.89,3231.526776,31015
2018-01-06T12:00:00.0000000Z,2018-01-06T18:00:00.0000000Z,16505.16,16982,16011.21,16889.93,5225.363092,43350
2018-01-06T18:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,16854.03,17143.13,16582.98,17069.79,4364.395481,37522
2018-01-07T00:00:00.0000000Z,2018-01-07T06:00:00.0000000Z,17069.79,17099.96,16400,16564,9256.905574,68294
2018-01-07T06:00:00.0000000Z,2018-01-07T12:00:00.0000000Z,16564,16886.75,16400,16607,5550.243168,50158
2018-01-07T12:00:00.0000000Z,2018-01-07T18:00:00.0000000Z,16611,16649.05,15715.06,15800.01,5923.42927,68544
2018-01-07T18:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,15800.01,16500,15610,16150.03,4255.673104,53542
2018-01-08T00:00:00.0000000Z,2018-01-08T06:00:00.0000000Z,16218.85,16322.3,15476,15768.71,4634.530941,41452
2018-01-08T06:00:00.0000000Z,2018-01-08T12:00:00.0000000Z,15768.71,15921.68,14551,15400,6500.957016,50313
2018-01-08T12:00:00.0000000Z,2018-01-08T18:00:00.0000000Z,15414,15499,12812,14699.95,11639.88273,79487
2018-01-08T18:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,14739.8,15270.99,14392.32,14902.54,3825.239225,37390
2018-01-09T00:00:00.0000000Z,2018-01-09T06:00:00.0000000Z,14902.54,15500,14670,14880,3341.808955,35891
2018-01-09T06:00:00.0000000Z,2018-01-09T12:00:00.0000000Z,14880,15300,14170.33,14726,3573.937384,38380
2018-01-09T12:00:00.0000000Z,2018-01-09T18:00:00.0000000Z,14726,14998.62,14011.05,14949.98,4373.999728,45563
2018-01-09T18:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,14949.98,14990,14125,14400,3025.258186,36822
2018-01-10T00:00:00.0000000Z,2018-01-10T06:00:00.0000000Z,14401,14480,13750,14136.72,4313.144179,44736
2018-01-10T06:00:00.0000000Z,2018-01-10T12:00:00.0000000Z,14136.77,14349.99,13131.31,13919.08,6167.650672,50836
2018-01-10T12:00:00.0000000Z,2018-01-10T18:00:00.0000000Z,13919.09,14698.12,13500,14567.51,4662.418519,41384
2018-01-10T18:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,14550,14955.66,14172.95,14907.09,2267.788285,24520
2018-01-11T00:00:00.0000000Z,2018-01-11T06:00:00.0000000Z,14940,14968.68,11400,12868.84,14589.35775,86057
2018-01-11T06:00:00.0000000Z,2018-01-11T12:00:00.0000000Z,12868.84,13896.7,12780.03,13385.1,6939.707457,49708
2018-01-11T12:00:00.0000000Z,2018-01-11T18:00:00.0000000Z,13385.1,14400,13282.13,13650.01,5881.968715,53669
