time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-01T00:00:00.0000000Z,2022-02-01T06:00:00.0000000Z,38466.9,38649.9,38175.86,38452.9,5011.52643,159999
2022-02-01T06:00:00.0000000Z,2022-02-01T12:00:00.0000000Z,38452.89,39100,38000,38425.06,10155.97432,258206
2022-02-01T12:00:00.0000000Z,2022-02-01T18:00:00.0000000Z,38425.05,39265.2,38190.42,38867.24,13787.66285,325683
2022-02-01T18:00:00.0000000Z,2022-02-02T00:00:00.0000000Z,38868.01,38900,38341.06,38694.59,5619.28303,173729
2022-02-02T00:00:00.0000000Z,2022-02-02T06:00:00.0000000Z,38694.59,38855.92,38300,38416.38,5374.7112,153199
2022-02-02T06:00:00.0000000Z,2022-02-02T12:00:00.0000000Z,38416.38,38597.95,38196.42,38490,5110.6054,169871
2022-02-02T12:00:00.0000000Z,2022-02-02T18:00:00.0000000Z,38490,38773.41,37066.66,37469.99,15267.65177,339734
2022-02-02T18:00:00.0000000Z,2022-02-03T00:00:00.0000000Z,37469.99,37674.34,36586.95,36896.36,10041.71293,245101
2022-02-03T00:00:00.0000000Z,2022-02-03T06:00:00.0000000Z,36896.37,37081.55,36720.01,36991.62,7140.47162,183269
2022-02-03T06:00:00.0000000Z,2022-02-03T12:00:00.0000000Z,36991.63,37106.91,36250.73,36785,8428.82409,219269
2022-02-03T12:00:00.0000000Z,2022-02-03T18:00:00.0000000Z,36785,37104.6,36250,36831.51,9283.65912,253996
2022-02-03T18:00:00.0000000Z,2022-02-04T00:00:00.0000000Z,36831.52,37387,36270,37311.61,7201.26634,192113
2022-02-04T00:00:00.0000000Z,2022-02-04T06:00:00.0000000Z,37311.98,37689,37026.73,37547.01,8748.87705,185551
2022-02-04T06:00:00.0000000Z,2022-02-04T12:00:00.0000000Z,37547.01,38236.08,37547,37810,10149.85262,221997
2022-02-04T12:00:00.0000000Z,2022-02-04T18:00:00.0000000Z,37810,40600,37290.2,40520.46,32912.34939,646258
2022-02-04T18:00:00.0000000Z,2022-02-05T00:00:00.0000000Z,40520.45,41772.33,40278.79,41574.25,12892.87968,326918
2022-02-05T00:00:00.0000000Z,2022-02-05T06:00:00.0000000Z,41571.7,41913.69,41173.36,41525.27,10662.60876,298369
2022-02-05T06:00:00.0000000Z,2022-02-05T12:00:00.0000000Z,41525.26,41748.18,41099.92,41430,7377.84925,227657
2022-02-05T12:00:00.0000000Z,2022-02-05T18:00:00.0000000Z,41430,41899.54,40843.01,41583.93,10494.66573,325061
2022-02-05T18:00:00.0000000Z,2022-02-06T00:00:00.0000000Z,41583.94,41771.85,41349.81,41382.59,3997.21998,155265
2022-02-06T00:00:00.0000000Z,2022-02-06T06:00:00.0000000Z,41382.6,41640,41305.29,41572.96,3134.40959,142909
2022-02-06T06:00:00.0000000Z,2022-02-06T12:00:00.0000000Z,41572.97,41714.18,41401.58,41522,3228.09033,143744
2022-02-06T12:00:00.0000000Z,2022-02-06T18:00:00.0000000Z,41522,42168,41116.56,41644.84,8989.90787,274919
2022-02-06T18:00:00.0000000Z,2022-02-07T00:00:00.0000000Z,41644.84,42656,41426.6,42380.87,7052.75925,226719
2022-02-07T00:00:00.0000000Z,2022-02-07T06:00:00.0000000Z,42380.87,43000,41645.85,42798.1,27278.90642,808984
2022-02-07T06:00:00.0000000Z,2022-02-07T12:00:00.0000000Z,42798.09,42823,42234.09,42720.03,15875.46162,464088
